Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q5PXS1	LCK_AOTNA	reviewed	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Lymphocyte cell-specific protein-tyrosine kinase) (Proto-oncogene Lck) (p56-LCK)	LCK	Aotus nancymaae (Ma's night monkey)	509
Q07DV8	MET_AOTNA	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Aotus nancymaae (Ma's night monkey)	1381
Q00PJ8	MET_ATEAB	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Atelerix albiventris (Middle-African hedgehog) (Four-toed hedgehog)	1382
Q09YL1	MET_ATEGE	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Ateles geoffroyi (Black-handed spider monkey) (Geoffroy's spider monkey)	1381
Q2TA06	AURKA_BOVIN	reviewed	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	Bos taurus (Bovine)	402
Q32KX7	BMI1_BOVIN	reviewed	Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4)	BMI1 PCGF4	Bos taurus (Bovine)	326
Q32KY4	CDK4_BOVIN	reviewed	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4)	CDK4	Bos taurus (Bovine)	303
A1A4L6	ETS2_BOVIN	reviewed	Protein C-ets-2	ETS2	Bos taurus (Bovine)	470
A3KN19	FA83D_BOVIN	reviewed	Protein FAM83D	FAM83D	Bos taurus (Bovine)	581
Q29RS8	FLI1_BOVIN	reviewed	Friend leukemia integration 1 transcription factor (Proto-oncogene Fli-1)	FLI1	Bos taurus (Bovine)	452
O77628	FOS_BOVIN	reviewed	Proto-oncogene c-Fos (Cellular oncogene fos)	FOS	Bos taurus (Bovine)	380
P48803	FGF4_BOVIN	reviewed	Fibroblast growth factor 4 (FGF-4) (Heparin secretory-transforming protein) (HST) (Heparin-binding growth factor 4) (HBGF-4)	FGF4 HST	Bos taurus (Bovine)	206
A0JNB0	FYN_BOVIN	reviewed	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene c-Fyn) (p59-Fyn)	FYN	Bos taurus (Bovine)	537
Q2KIJ5	KDSR_BOVIN	reviewed	3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1 homolog) (FVT-1)	KDSR FVT1	Bos taurus (Bovine)	331
P46200	MYB_BOVIN	reviewed	Transcriptional activator Myb (Proto-oncogene c-Myb)	MYB	Bos taurus (Bovine)	640
Q2HJ27	MYC_BOVIN	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Bos taurus (Bovine)	439
P61585	RHOA_BOVIN	reviewed	Transforming protein RhoA (Gb) (p21)	RHOA ARHA RHO12	Bos taurus (Bovine)	193
A2VDT1	TP4A3_BOVIN	reviewed	Protein tyrosine phosphatase type IVA 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4a3)	PTP4A3	Bos taurus (Bovine)	173
Q08DN7	VAV_BOVIN	reviewed	Proto-oncogene vav	VAV1	Bos taurus (Bovine)	844
O77627	JUN_BOVIN	reviewed	Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog)	JUN	Bos taurus (Bovine)	335
P43481	KIT_BOVIN	reviewed	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (CD antigen CD117)	KIT	Bos taurus (Bovine)	977
A7Z017	MAF_BOVIN	reviewed	Transcription factor Maf (Proto-oncogene c-Maf) (V-maf musculoaponeurotic fibrosarcoma oncogene homolog)	MAF	Bos taurus (Bovine)	377
Q769I5	MET_BOVIN	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Bos taurus (Bovine)	1384
Q9N0P9	PIM1_BOVIN	reviewed	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	PIM1	Bos taurus (Bovine)	313
P32871	PK3CA_BOVIN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	PIK3CA	Bos taurus (Bovine)	1068
Q3SZY3	PTTG1_BOVIN	reviewed	Securin (Pituitary tumor-transforming gene 1 protein)	PTTG1	Bos taurus (Bovine)	202
A7E3S4	RAF1_BOVIN	reviewed	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	RAF1	Bos taurus (Bovine)	648
A4FV54	RAB8A_BOVIN	reviewed	Ras-related protein Rab-8A	RAB8A	Bos taurus (Bovine)	207
Q0VCJ7	RERG_BOVIN	reviewed	Ras-related and estrogen-regulated growth inhibitor	RERG	Bos taurus (Bovine)	199
Q9XVN3	IASPP_CAEEL	reviewed	Apoptotic enhancer 1 protein (Ce-iASPP) (Inhibitor member of the ASPP family) (Protein iASPP)	ape-1 F46F3.4	Caenorhabditis elegans	769
Q76II0	KIT_CALJA	reviewed	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (CD antigen CD117)	KIT	Callithrix jacchus (White-tufted-ear marmoset)	972
P49032	MYC_CALJA	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Callithrix jacchus (White-tufted-ear marmoset)	438
Q2QLG5	MET_CALJA	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Callithrix jacchus (White-tufted-ear marmoset)	1381
