entrez	symbol	description	locus	hprd	hgnc	mim	refpro	refdna	ensembl	uniprot	cancer	cancer_type	cancer_dom	cancer_rec	duplicability	origin	mirna	function	chromosome	tstart	tend	aliases	main_refseq	duplicability_main_refseq	potential_false_positive	primary_sites	degree	betweenness	clustering	complexes
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9q34.1	1809	76	189980	NP_005148;NP_009297	NM_005157;NM_007313	ENSP00000361423	P00519	TRUE	cgc	1	0	0	Eukaryotes	3	Cell cycle,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr9	133589707	133761067	|JTK7|bcr/abl|c-ABL|c-ABL1|v-abl|	NP_009297	0	FALSE	1	337	583638	0.0440	9
27	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1q25.2	1259	77	164690	NP_001129472;NP_001129473;NP_001161708;NP_001161709;NP_001161710;NP_001161711;NP_005149;NP_009298;XP_005245145	NM_001136000;NM_001136001;NM_001168236;NM_001168237;NM_001168238;NM_001168239;NM_005158;NM_007314;XM_005245088	ENSP00000427562	P42684	TRUE	cgc	1	0	0	Eukaryotes	5	Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	chr1	179076856	179198532	|ABLL|	NP_009298	0	FALSE	1	43	14338	0.2290	4
60	ACTB	actin, beta	7p22	32	132	102630	NP_001092;XP_006715827	NM_001101;XM_006715764	ENSP00000224784;ENSP00000295137;ENSP00000326022;ENSP00000331514;ENSP00000350052;ENSP00000392718;ENSP00000439189;ENSP00000452296;ENSP00000469921	P60709	TRUE	can	0	0	39	Last Universal Common Ancestor	2	Cell response to stimuli	chr7	5567382	5569288	|BRWS1|PS1TP5BP1|	NP_001092	39	FALSE	1	337	472339	0.0700	47
90	ACVR1	activin A receptor, type I	2q23-q24	21	171	102576	NP_001096;NP_001104537;XP_005246996;XP_005246997;XP_006712888	NM_001105;NM_001111067;XM_005246939;XM_005246940;XM_006712825	ENSP00000263640	Q04771	TRUE	can	0	0	0	Metazoans	8	Cell cycle,Cell motility and interactions,Cell response to stimuli,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Immune system response,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr2	158594046	158656005	|ACTRI|ACVR1A|ACVRLK2|ALK2|SKR1|TSRI|	NP_001096	0	FALSE	1	72	36125	0.0610	2
91	ACVR1B	activin A receptor, type IB	12q13	3193	172	601300	NP_004293;NP_064732;NP_064733;XP_006719748	NM_004302;NM_020327;NM_020328;XM_006719685	ENSP00000442656	P36896	TRUE	can	0	0	0	Metazoans	6	Cell cycle,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr12	52345528	52387891	|ACTRIB|ALK4|SKR2|	NP_064733	0	FALSE	2	31	27232	0.1680	6
92	ACVR2A	activin A receptor, type IIA	2q22.3	25	173	102581	NP_001265508;NP_001265509;NP_001607;XP_005263900	NM_001278579;NM_001278580;NM_001616;XM_005263843	ENSP00000241416	P27037	TRUE	can	0	0	0	Metazoans	5	Cellular metabolism,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	chr2	148602722	148684840	|ACTRII|ACVR2|	NP_001265508	0	FALSE	3	22	4534	0.1470	14
102	ADAM10	ADAM metallopeptidase domain 10	15q22	-	188	602192	NP_001101;XP_005254174	NM_001110;XM_005254117	ENSP00000260408	O14672	TRUE	can	0	0	0	Opisthokonts	2	Cell motility and interactions,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	chr15	58889749	59041733	|AD18|CD156c|HsT18717|kuz|	NP_001101	0	FALSE	1	24	37150	0.0470	
107	ADCY1	adenylate cyclase 1 (brain)	7p13-p12	53	232	103072	NP_001268697;NP_066939;XP_005249641;XP_005249642	NM_001281768;NM_021116;XM_005249584;XM_005249585	ENSP00000297323	Q08828	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cellular metabolism,DNA/RNA metabolism and transcription,Signal transduction	chr7	45614143	45753591	|AC1|	NP_066939	0	FALSE	1	2	267	0.0000	5
114	ADCY8	adenylate cyclase 8 (brain)	8q24	51	239	103070	NP_001106;XP_005250826;XP_006716564	NM_001115;XM_005250769;XM_006716501	ENSP00000260600;ENSP00000286355	P40145	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cellular metabolism,DNA/RNA metabolism and transcription,Signal transduction	chr8	131792639	132052579	|AC8|HBAC1|	NP_001106	0	FALSE	1	3	64	0.3330	5
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	4q23	-	250	103720	NP_000659;NP_001273579;XP_006714142	NM_000668;NM_001286650;XM_006714079	ENSP00000306606	P00325	TRUE	can	0	0	2	Last Universal Common Ancestor	0	Cellular metabolism	chr4	100231924	100240043	|ADH2|HEL-S-117|	NP_000659	2	FALSE	1	6	148	0.0000	
173	AFM	afamin	4q13.3	73	316	104145	NP_001124;XP_006714185	NM_001133;XM_006714122	ENSP00000226355	P43652	TRUE	can	0	0	0	Vertebrates	0	-1	chr4	74347493	74367636	|ALB2|ALBA|	NP_001124	0	FALSE	1				
182	JAG1	jagged 1	20p12.1-p11.23	3562	6188	601920	NP_000205	NM_000214	ENSP00000254958	P78504	TRUE	can	0	0	0	Eukaryotes	7	Cell cycle,Cell motility and interactions,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	chr20	10620149	10654178	|AGS|AHD|AWS|CD339|HJ1|JAGL1|	NP_000205	0	FALSE	1	13	1075	0.0900	9
187	APLNR	apelin receptor	11q12	2503	339	600052	NP_005152	NM_005161;NR_027991	ENSP00000257254	P35414	TRUE	can	0	0	0	Vertebrates	0	Signal transduction	chr11	57003339	57004478	|AGTRL1|APJ|APJR|HG11|	NP_005152	0	FALSE	1	1	0	0.0000	3
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	14q32.32	1261	391	164730	NP_001014431;NP_001014432;NP_005154;XP_005267458	NM_001014431;NM_001014432;NM_005163;XM_005267401	ENSP00000270202	P31749	TRUE	cgc	1	0	2	Last Universal Common Ancestor	11	Cell cycle,Cell response to stimuli,Cellular metabolism,Cellular processes,Development,Immune system response,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr14	105236681	105258980	|AKT|CWS6|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA|	NP_001014431	2	FALSE	5	329	499050	0.0440	20
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	19q13.1-q13.2	1262	392	164731	NP_001229956;NP_001229957;NP_001617;XP_006723144;XP_006723145;XP_006723146;XP_006723147;XP_006723148	NM_001243027;NM_001243028;NM_001626;XM_006723081;XM_006723082;XM_006723083;XM_006723084;XM_006723085	ENSP00000375892	P31751	TRUE	cgc	1	0	1	Last Universal Common Ancestor	5	Cellular metabolism,Cellular processes	chr19	40739782	40771174	|HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA|	NP_001617	1	FALSE	3	54	40392	0.0930	2
213	ALB	albumin	4q13.3	62	399	103600	NP_000468	NM_000477	ENSP00000295897;ENSP00000324292	P02768	TRUE	can	0	0	0	Metazoans	0	Cell cycle,Cell motility and interactions,Cell response to stimuli,Cellular processes,Development,Other,Regulation of intracellular processes and metabolism	chr4	74270045	74286012	|ANALBA|FDAH|PRO0883|PRO0903|PRO1341|	NP_000468	0	FALSE	1	155	443620	0.0140	4
217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	12q24.2	3	404	100650	NP_000681;NP_001191818	NM_000690;NM_001204889	ENSP00000261733	P05091	TRUE	cgc	1	0	1	Last Universal Common Ancestor	5	Signal transduction	chr12	112204787	112241786	|ALDH-E2|ALDHI|ALDM|	NP_000681	1	FALSE	1	17	17852	0.0810	1
238	ALK	anaplastic lymphoma receptor tyrosine kinase	2p23	104	427	105590	NP_004295	NM_004304	ENSP00000373700	Q9UM73	TRUE	cgc	1	0	0	Eukaryotes	1	Cellular metabolism,Cellular processes,Development,Signal transduction	chr2	29416093	30143525	|CD246|NBLST3|	NP_004295	0	FALSE	3	67	30723	0.0790	1
239	ALOX12	arachidonate 12-lipoxygenase	17p13.1	1066	429	152391	NP_000688;XP_005256645;XP_006721559;XP_006721560	NM_000697;XM_005256588;XM_006721496;XM_006721497	ENSP00000251535	P18054	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cell cycle,Cell motility and interactions,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism	chr17	6899437	6913739	|12S-LOX|LOG12|	NP_000688	0	FALSE	1	8	231	0.0360	
273	AMPH	amphiphysin	7p14-p13	2687	471	600418	NP_001626;NP_647477;XP_006715752;XP_006715753;XP_006715754	NM_001635;NM_139316;XM_006715689;XM_006715690;XM_006715691	ENSP00000348602	P49418	TRUE	can	0	0	0	Eukaryotes	0	Cellular processes,Multicellular activities	chr7	38424422	38670951	|AMPH1|	NP_001626	0	FALSE	1	40	12015	0.0970	7
280	AMY2B	amylase, alpha 2B (pancreatic)	1p21	95	478	104660	NP_066188	NM_020978	ENSP00000397582	P19961	TRUE	can	0	0	5	Last Universal Common Ancestor	0	-1	chr1	104114225	104122119	|AMY3|HXA|	NP_066188	5	FALSE	1	2	6	0.0000	
